# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.447515	0.00827346	0	0	115566
1	-2.274021	0.00858771	0	0	116326
2	-1.796807	0.00766713	0	0	116515
3	-0.949860	0.00810093	0	0	116528
4	2.451402	0.00834256	0	0	115673
5	-2.058938	0.00758332	0	0	116009
6	-0.385834	0.00783237	0	0	114280
7	1.977495	0.00759246	0	0	116160
8	-0.779143	0.00732260	0	0	116417
9	0.184044	0.00722210	0	0	116589
10	1.244766	0.00736880	0	0	116503
11	0.887384	0.00716854	0	0	116436
12	-0.923760	0.00789021	0	0	116472
13	0.046054	0.00731824	0	0	116074
14	-2.372337	0.00769415	0	0	115937
15	-0.147936	0.00741262	0	0	116497
16	0.192766	0.00712380	0	0	115698
17	-1.489630	0.00702575	0	0	116479
18	1.419977	0.00703041	0	0	116450
19	-0.811853	0.00721508	0	0	116397
20	-0.831936	0.00817164	0	0	115573
21	-0.053087	0.00793826	0	0	116357
22	-0.308488	0.00772788	0	0	115416
23	-0.537351	0.00776871	0	0	116380
24	-1.518010	0.00910215	0	0	115759
25	-1.716942	0.00793433	0	0	115628
26	0.000000	0.00000000	0	0	0
27	-1.705069	0.00776371	0	0	114294
28	-0.869158	0.00765389	0	0	116079
29	0.000000	0.00000000	0	0	0
30	1.387609	0.00715782	0	0	116547
31	2.427891	0.00743102	0	0	115869
32	1.842469	0.00742701	0	0	116475
33	0.721530	0.00762062	0	0	116247
34	0.217119	0.00815740	0	0	116495
35	2.268281	0.00805953	0	0	116060
36	0.210589	0.00796364	0	0	116200
37	-0.561674	0.00808944	0	0	116348
38	0.000000	0.00000000	0	0	0
39	1.880396	0.00768288	0	0	116220
40	0.232263	0.00714629	0	0	115906
41	0.991668	0.00733051	0	0	116216
42	2.902576	0.00707974	0	0	116473
43	1.909586	0.00743169	0	0	116384
44	-0.997185	0.00760828	0	0	116521
45	-0.381537	0.00718378	0	0	116582
46	-0.457509	0.00722749	0	0	116590
47	-2.580386	0.00717219	0	0	115632
48	2.810515	0.00736454	0	0	116117
49	-0.805669	0.00713025	0	0	116007
50	1.437252	0.00720052	0	0	115655
51	-1.432520	0.00740727	0	0	116116
52	1.035697	0.00754983	0	0	114712
53	0.515482	0.00722774	0	0	116475
54	0.000000	0.00000000	0	0	0
55	-1.137247	0.00769569	0	0	115559
56	1.225664	0.00789116	0	0	116449
57	-1.038108	0.00790654	0	0	115842
58	-1.639826	0.00800659	0	0	116139
59	0.579673	0.00799217	0	0	116352
